,Created_at,Username,Tweet
103,2022-09-20 17:29:33+00:00,RexannaKeats,"RT @Reuters: The announcement came after @Reuters visited dozens of supermarkets, retailers and gyms in Moscow and beyond and found cans an…"
104,2022-09-20 17:29:33+00:00,dogbuilt,"RT @CUNEathletics: NAIA NATIONAL Setter of the Week! Congrats to @cunevolleyball's Bree Burtwistle!

https://t.co/xNZRbSbMfG https://t.co/4…"
105,2022-09-20 17:29:33+00:00,LHills31,"Lottery Horoscope Almanac 2022: Lottery Horoscope Numbers For 2022 [RSVGLGU]

https://t.co/Hz8psU1fE4"
106,2022-09-20 17:29:33+00:00,FinnisBuoy,"Wave Height:0.9m, Wave Period:6s, Wave Dir:254 °(W), Water Temp:15.8 °C, Avg Wind:8kts, Gust:15kts at 20/09/2022 18:25:00"
107,2022-09-20 17:29:33+00:00,RuralGrubby,RT @FreedomWorks: ⚠️ Disclosing Donors: “An invasion of privacy and an attempt to shame the political beliefs of individuals and corporatio…
108,2022-09-20 17:29:33+00:00,CultExposed,RT @CREWcrew: A county sheriff in Texas just opened a criminal investigation into flights that took 48 migrants from a shelter in San Anton…
109,2022-09-20 17:29:33+00:00,Xx__yahaira__xX,RT @AccessBadBunny: Bad Bunny &amp; Bomba Estéreo’s “Ojitos Lindos” has been nominated for “Record Of The Year” at the 2022 Latin Grammy. #Lati…
110,2022-09-20 17:29:33+00:00,AdriaLexi18,RT @sonic_hedgehog: He'll shatter your world. Sonic Prime is coming to Netflix Winter 2022! https://t.co/ux5QLETJh4
111,2022-09-20 17:29:33+00:00,deboratinita23,RT @BeckyGOnStats: Becky G (@iambeckyg) is the THIRD Female Artist with the most nominations at #LatinGRAMMY 2022 (4) https://t.co/3KGV9VGd…
112,2022-09-20 17:29:33+00:00,debbie156,"RT @BucksCoBeacon: Diverse Books Promote Self-Worth, Unity, and Empathy | @PFLAG #BucksCounty takes on #BannedBooksWeek  in relation to @CB…"
113,2022-09-20 17:29:33+00:00,nabrooks,RT @USATODAY: 'A brazen scheme of staggering proportions': 47 people charged with siphoning $250M from COVID-19 relief program that fed chi…
114,2022-09-20 17:29:33+00:00,NYPDSchools,"Don’t forget to join us Saturday, October 1st 2022. All are welcome let’s walk for a good cause. 🎉👏 https://t.co/R8FfhUUl48"
115,2022-09-20 17:29:33+00:00,tlc6767,"RT @1goodtern: We've now had more admissions for Covid in the UK in the first nine months of 2022 than we had in the whole of 2021 or 2020,…"
116,2022-09-20 17:29:33+00:00,anujrocks44,"RT @thecricbaba: Most times Conceding 40 or more runs in a Calendar Year for India in T20I

5 times - Harshal Patel in 2022*
4 times - Aves…"
117,2022-09-20 17:29:33+00:00,chokochibkuki22,"RT @BAEKHO_PLEDIS: 백호 (BAEKHO) 1st Mini Album [Absolute Zero]

Release on 2022.10.12 6PM(KST)

#백호 #BAEKHO
#Absolute_Zero https://t.co/UxQA…"
118,2022-09-20 17:29:33+00:00,heeguks__,"RT @pledis_17jp: 2022.11.09 RELEASE
#SEVENTEEN JAPAN 1ST EP「DREAM」HIPHOP TEAM Artist Photo

#VERNON 

#DREAM #SVT_DREAM https://t.co/7zJVa7…"
119,2022-09-20 17:29:33+00:00,RPacilio,"RT @BillKristol: “This freedom…only survives if we recognize threats when they arise. And today, we are facing such a threat. It's a threat…"
